File,Name,Steps,Date,Network Type,Initial Trust (Govt),Initial Trust (Corp),Initial Trust (Inf),Final Trust (Govt),Final Trust (Corp),Final Trust (Inf),Final Truth Assessment
high-trust-3_run_1745344170.json,high-trust-3,74,2025-04-22 13:49:30,small_world,8,7,7,8.146910418492185,7.127423014288677,6.06866502575001,0.46673320153891135
high-trust-1_run_1745344136.json,high-trust-1,74,2025-04-22 13:48:56,small_world,8,7,7,8.101857429052183,7.844894620800168,6.759312312309821,0.4878852581892073
moderate-trust-3_run_1745344101.json,moderate-trust-3,74,2025-04-22 13:48:21,small_world,5,5,5,5.209194378050732,5.5341412934684,4.076198965238757,0.5718436943740716
moderate-trust-1_run_1745344087.json,moderate-trust-1,74,2025-04-22 13:48:07,small_world,5,5,5,4.926359206277707,5.493659142823756,4.91572311638707,0.512150673537906
low-trust-1_run_1745343660.json,low-trust-1,74,2025-04-22 13:41:00,small_world,2,3,3,1.9857436907170976,3.0881123895042215,2.86387430163573,0.47726505727191837
moderate-trust-2_run_1745344094.json,moderate-trust-2,74,2025-04-22 13:48:14,small_world,5,5,5,5.204854888096568,5.583425709119338,4.775069552839281,0.502785618151354
low-trust-2_run_1745343703.json,low-trust-2,74,2025-04-22 13:41:43,small_world,2,3,3,1.8610243349654476,3.1448825403577634,2.9659025323588124,0.5290258623065616
mixed_network_and_trust.json,mixed network and trust,50,2025-04-22 15:08:08,small_world,8,8,8,8.1,N/A,N/A,N/A
high-trust-2_run_1745344144.json,high-trust-2,74,2025-04-22 13:49:04,small_world,8,7,7,7.796293555038923,7.0719047727777316,5.983915739297738,0.4903073811892144
low-trust-3_run_1745343714.json,low-trust-3,74,2025-04-22 13:41:54,small_world,2,3,3,2.0421888572722944,3.6171340354105466,2.866100548622131,0.4894792741311458
