network_type,density,avg_truth_assessment_mean,avg_truth_assessment_std
random,high,0.45521570175485665,0.010922767763004588
random,low,0.4434762375993689,0.011942201559971017
random,medium,0.48472671378407867,0.027435885726060767
scale-free,high,0.4454242992955468,0.005039882940108281
scale-free,low,0.4571393982438579,0.05839024135983162
scale-free,medium,0.4238950221575282,0.011844828084485347
small-world,high,0.45443064317019616,0.02424534576394948
small-world,low,0.46695047443095955,0.026585028674845097
small-world,medium,0.45610409465259555,0.019121480220991614
